,student_ids,Grade Average 7,Grade Average 8,target
0,117553,83,86,1
1,118265,85,87,1
2,117858,79,83,1
3,116622,88,89,1
4,116270,85,85,1
5,127515,84,88,1
6,150306,85,87,1
7,117422,80,83,1
8,117541,85,80,1
9,152906,85,87,1
10,118171,84,87,1
11,135610,80,84,1
12,117435,80,81,1
13,118263,82,83,1
14,115257,84,89,1
15,118506,84,89,1
16,117835,88,88,1
17,117558,80,87,1
18,119804,83,87,1
19,124316,76,74,1
20,115273,80,81,1
21,117468,89,88,1
22,148451,84,88,1
23,117560,85,88,1
24,117561,81,87,1
25,116672,81,85,1
26,131340,85,88,1
27,117916,84,80,1
28,123726,78,86,1
29,117562,85,86,1
30,118471,80,87,1
31,118147,78,82,1
32,117122,84,86,1
33,117563,74,78,1
34,125558,79,85,1
35,118502,80,86,1
36,141419,82,88,1
37,116062,85,87,1
38,143681,87,88,1
39,118798,85,87,1
40,113361,84,89,1
41,116744,88,89,1
42,146702,87,86,1
43,117665,85,88,1
44,118247,81,83,1
45,118503,76,80,1
46,118019,86,88,1
47,127392,83,88,1
48,117424,77,79,1
49,117582,86,85,1
50,127172,81,83,1
51,134673,85,85,1
52,122317,84,85,1
53,120456,79,87,1
54,118031,85,89,1
55,117483,0,85,1
56,119553,83,88,1
57,117464,85,88,1
58,120503,89,89,1
59,140852,89,90,1
60,115360,81,83,1
61,117692,89,89,1
62,155847,0,89,1
63,127512,79,79,1
64,117585,81,84,1
65,117897,83,84,1
66,123065,76,77,1
67,126850,84,88,1
68,118782,83,85,1
69,117512,78,83,1
70,145447,80,83,1
71,117861,82,86,1
72,122926,81,86,1
73,117761,81,84,1
74,122794,79,80,1
75,117419,81,88,1
76,143862,85,88,1
77,117917,81,82,1
78,139896,78,87,1
79,117646,86,87,1
80,131475,81,84,1
81,117599,81,87,1
82,118223,82,87,1
83,118224,86,88,1
84,117465,86,88,1
85,148751,85,88,1
86,116757,77,81,1
87,122019,71,79,1
88,123629,83,84,1
89,122952,83,88,1
90,123118,80,86,1
91,128797,81,88,1
92,128218,78,87,1
93,118374,81,81,1
94,119257,88,89,1
95,117848,85,84,1
96,117824,84,85,1
97,115457,81,87,1
98,136556,84,89,1
99,124809,84,84,1
100,118186,86,85,1
101,117522,85,89,1
102,117684,83,86,1
103,122134,83,84,1
104,126769,86,88,1
105,126653,83,88,1
106,122871,79,88,1
107,117875,86,88,1
108,116646,81,88,1
109,143054,83,81,1
110,122097,75,85,1
111,117976,87,88,1
112,116412,77,79,1
113,122140,86,86,1
114,137955,88,88,1
115,117619,87,86,1
116,123030,79,85,1
117,117617,77,77,1
118,117674,82,88,1
119,117725,85,86,1
120,118500,90,89,1
121,117622,86,88,1
122,142855,81,81,1
123,122869,82,88,1
124,134904,82,83,1
125,122968,82,84,1
126,122955,80,87,1
127,117634,84,85,1
128,145265,81,85,1
129,118078,86,88,1
130,121869,85,86,1
131,117912,83,84,1
132,117487,82,88,1
133,119424,78,86,1
134,126101,83,84,1
135,117783,89,89,1
136,117495,85,87,1
137,117810,89,89,1
138,117676,83,89,1
139,122094,83,85,1
140,117442,81,87,1
141,117497,85,88,1
142,118195,84,88,1
143,124368,82,88,1
144,126842,88,88,1
145,126844,86,90,1
146,118254,81,86,1
147,117639,78,87,1
148,117915,82,86,1
149,117831,86,87,1
150,118955,84,87,1
151,117918,80,84,1
152,123192,86,87,1
153,138653,81,87,1
154,117723,79,82,1
155,119770,84,87,1
156,127186,83,84,1
157,121404,82,82,1
158,121104,82,82,1
159,117819,82,88,1
160,118253,85,87,1
161,118000,89,88,1
162,127006,86,87,1
163,122361,0,85,1
164,117806,81,86,1
165,117441,82,86,1
166,117502,86,89,1
167,127657,85,86,1
168,117485,88,88,1
169,122902,85,89,1
170,117548,79,82,1
171,117817,89,89,1
172,117759,88,88,1
173,126590,85,87,1
174,118725,84,85,1
175,126534,85,89,1
176,118024,86,84,1
177,115841,82,85,1
178,122963,70,86,1
179,120166,88,89,1
180,128507,80,84,1
181,117651,80,87,1
182,117670,85,84,1
183,117503,89,89,1
184,116449,79,82,1
185,118359,79,83,1
186,128772,82,88,1
187,118889,83,85,1
188,118168,82,87,1
189,117452,83,87,1
190,118681,85,88,1
191,117514,89,88,1
192,121102,81,84,1
193,117765,84,83,1
194,131183,0,88,1
195,116507,79,84,1
196,118150,80,84,1
197,145284,81,86,1
198,115598,83,88,1
199,134689,88,88,1
200,132613,85,89,1
201,140983,83,86,1
202,117746,76,82,1
203,117707,85,84,1
204,117431,83,87,1
205,118005,85,89,1
206,117704,88,88,1
207,118251,84,86,1
208,118812,74,79,1
209,117454,89,88,1
210,117149,86,88,1
211,117505,89,88,1
212,117739,84,87,1
213,118015,84,88,1
214,117318,79,82,1
215,115686,82,82,1
216,117524,86,88,1
217,122906,80,87,1
218,117857,74,77,0
219,132134,73,77,0
220,124402,0,0,0
221,118270,81,86,0
222,139405,66,68,0
223,117713,76,82,0
224,115228,81,79,0
225,127545,80,74,0
226,140285,76,79,0
227,127477,81,87,0
228,159804,0,0,0
229,156972,0,75,0
230,117461,80,84,0
231,146152,82,80,0
232,138274,72,74,0
233,147010,71,77,0
234,118123,0,0,0
235,116828,83,83,0
236,140119,84,85,0
237,118030,78,82,0
238,156525,0,82,0
239,131454,70,79,0
240,118354,79,73,0
241,151503,87,87,0
242,124159,83,83,0
243,144663,83,82,0
244,121844,82,83,0
245,145508,79,78,0
246,145507,74,76,0
247,117510,81,88,0
248,115256,77,80,0
249,115258,86,84,0
250,152299,75,82,0
251,117542,70,78,0
252,117543,83,86,0
253,115764,79,80,0
254,117097,73,64,0
255,122088,78,76,0
256,144403,84,86,0
257,158817,0,0,0
258,123855,78,78,0
259,115263,74,80,0
260,157768,0,77,0
261,118062,78,79,0
262,118074,76,76,0
263,149029,72,74,0
264,145281,83,83,0
265,159259,0,0,0
266,116296,75,71,0
267,117843,82,88,0
268,160117,0,0,0
269,117879,76,77,0
270,115280,76,80,0
271,123511,70,71,0
272,144308,0,0,0
273,122283,67,73,0
274,118022,87,87,0
275,143480,75,82,0
276,117894,78,81,0
277,116304,80,80,0
278,136097,0,43,0
279,118478,84,82,0
280,122098,77,80,0
281,159022,0,0,0
282,160755,0,0,0
283,117056,80,82,0
284,159053,0,0,0
285,142754,79,77,0
286,117564,80,77,0
287,155934,0,70,0
288,159366,0,0,0
289,132303,77,83,0
290,153054,78,81,0
291,121560,71,76,0
292,117565,73,80,0
293,118507,76,79,0
294,117729,75,77,0
295,117900,74,76,0
296,157280,0,0,0
297,141762,72,74,0
298,132806,75,80,0
299,115952,0,0,0
300,135149,79,81,0
301,158926,0,0,0
302,117567,73,79,0
303,126687,78,80,0
304,145724,84,82,0
305,159123,0,0,0
306,134935,82,84,0
307,154855,74,0,0
308,118262,79,83,0
309,151264,58,0,0
310,131386,75,80,0
311,154708,76,76,0
312,119652,79,81,0
313,160853,0,0,0
314,155853,0,82,0
315,118637,77,84,0
316,132257,77,84,0
317,123735,81,77,0
318,156661,0,84,0
319,153244,76,80,0
320,117575,72,79,0
321,126766,84,87,0
322,141764,74,77,0
323,126373,76,0,0
324,115319,78,73,0
325,141460,72,76,0
326,118842,76,79,0
327,136615,85,83,0
328,150086,66,72,0
329,131614,76,79,0
330,115883,77,64,0
331,118066,85,84,0
332,118070,76,82,0
333,131197,80,82,0
334,160302,0,0,0
335,118029,79,81,0
336,138419,73,77,0
337,115326,79,82,0
338,127059,0,87,0
339,157102,0,75,0
340,117809,80,77,0
341,116736,76,76,0
342,116873,81,85,0
343,144769,86,86,0
344,118809,75,80,0
345,118248,85,88,0
346,117578,85,84,0
347,118076,79,85,0
348,148481,77,81,0
349,141305,77,80,0
350,145213,62,68,0
351,145214,80,83,0
352,155895,0,77,0
353,141549,78,77,0
354,117579,85,87,0
355,118762,77,82,0
356,117728,78,85,0
357,118957,73,76,0
358,117520,78,82,0
359,157170,0,79,0
360,144843,80,81,0
361,141561,74,84,0
362,115338,78,72,0
363,157376,0,83,0
364,115340,76,80,0
365,117570,71,46,0
366,118308,76,76,0
367,117571,68,71,0
368,117715,81,88,0
369,117814,68,73,0
370,149391,78,79,0
371,117654,71,78,0
372,115961,66,77,0
373,117722,75,80,0
374,132372,0,0,0
375,159917,0,0,0
376,148478,77,80,0
377,127143,81,86,0
378,132760,69,77,0
379,131422,76,79,0
380,117697,78,81,0
381,160652,0,0,0
382,153213,81,77,0
383,156558,0,85,0
384,147728,81,84,0
385,135228,76,80,0
386,116416,79,80,0
387,160966,0,0,0
388,158322,0,0,0
389,143677,80,81,0
390,134700,82,79,0
391,117874,76,81,0
392,148204,78,81,0
393,135131,74,78,0
394,154884,66,75,0
395,122279,81,84,0
396,158996,0,0,0
397,117594,75,81,0
398,128359,78,78,0
399,115384,73,71,0
400,148881,75,0,0
401,153303,76,82,0
402,155497,0,81,0
403,133164,81,75,0
404,160008,0,0,0
405,143216,78,77,0
406,134822,76,80,0
407,115388,76,82,0
408,143007,73,72,0
409,118192,76,82,0
410,146155,0,75,0
411,117596,76,75,0
412,117906,80,84,0
413,117538,86,88,0
414,123962,84,86,0
415,118225,82,82,0
416,140452,67,67,0
417,151312,76,73,0
418,115395,0,0,0
419,115208,76,48,0
420,144455,75,76,0
421,142974,79,83,0
422,134975,73,0,0
423,115991,68,77,0
424,158991,0,0,0
425,157002,0,85,0
426,118441,72,79,0
427,117376,81,82,0
428,122956,78,60,0
429,137956,72,78,0
430,115409,82,80,0
431,116750,0,0,0
432,143770,75,75,0
433,131414,0,0,0
434,141468,79,78,0
435,118956,84,82,0
436,158980,0,0,0
437,155772,0,76,0
438,159402,0,0,0
439,116038,81,86,0
440,159119,0,0,0
441,123510,81,78,0
442,116448,0,64,0
443,128574,78,80,0
444,151256,82,85,0
445,156193,0,80,0
446,117862,81,86,0
447,159461,0,0,0
448,153766,70,73,0
449,117667,74,81,0
450,122270,0,79,0
451,147070,89,89,0
452,118188,78,79,0
453,117769,67,70,0
454,117708,72,77,0
455,116752,0,77,0
456,118101,80,80,0
457,155173,0,80,0
458,159350,0,61,0
459,145222,75,82,0
460,154161,76,81,0
461,146132,83,84,0
462,159261,0,0,0
463,115425,81,85,0
464,153270,79,81,0
465,118393,74,80,0
466,115426,84,84,0
467,126688,63,76,0
468,149074,0,78,0
469,117920,75,74,0
470,157366,0,80,0
471,125660,71,77,0
472,117749,79,80,0
473,139759,0,83,0
474,118499,76,82,0
475,159047,0,0,0
476,115772,78,81,0
477,135744,78,81,0
478,160607,0,0,0
479,114355,0,77,0
480,150508,77,80,0
481,118934,80,83,0
482,155900,0,74,0
483,115887,75,70,0
484,117343,79,79,0
485,154659,82,89,0
486,126613,76,82,0
487,115438,72,64,0
488,113456,74,72,0
489,155948,0,83,0
490,158336,0,0,0
491,115802,82,85,0
492,159356,0,0,0
493,137867,75,84,0
494,159453,0,0,0
495,117604,86,82,0
496,117605,75,76,0
497,160665,0,0,0
498,123149,0,0,0
499,118154,77,82,0
500,117841,74,82,0
501,118966,0,0,0
502,117609,74,80,0
503,116729,83,77,0
504,117687,74,80,0
505,118347,85,77,0
506,153094,80,78,0
507,123858,0,64,0
508,146760,78,81,0
509,116046,81,80,0
510,150819,0,0,0
511,119503,80,81,0
512,114515,0,0,0
513,116442,74,73,0
514,149471,82,88,0
515,159168,0,0,0
516,144787,84,83,0
517,123031,72,67,0
518,118162,77,81,0
519,117438,83,80,0
520,160403,0,0,0
521,158602,0,0,0
522,151504,82,84,0
523,117614,80,81,0
524,126594,76,79,0
525,131229,80,83,0
526,118967,74,77,0
527,122561,0,0,0
528,118190,76,82,0
529,115469,67,70,0
530,117516,76,79,0
531,139954,78,0,0
532,115803,75,76,0
533,117508,77,80,0
534,118090,80,82,0
535,135115,70,81,0
536,135017,77,80,0
537,118105,78,80,0
538,118989,75,78,0
539,118779,71,85,0
540,118282,78,79,0
541,118135,77,81,0
542,117989,0,0,0
543,118343,77,80,0
544,158056,0,0,0
545,159278,0,0,0
546,118331,84,86,0
547,149707,81,83,0
548,117825,80,88,0
549,130915,73,77,0
550,148283,85,88,0
551,139912,86,87,0
552,153227,83,82,0
553,117528,77,71,0
554,117019,79,79,0
555,155705,0,71,0
556,118476,79,81,0
557,117911,83,81,0
558,145094,75,75,0
559,132193,78,84,0
560,122966,80,84,0
561,117790,0,88,0
562,115950,75,76,0
563,123329,73,75,0
564,118793,81,87,0
565,116418,81,83,0
566,117795,71,75,0
567,122908,80,80,0
568,118185,80,80,0
569,118271,73,74,0
570,127526,81,79,0
571,153232,78,79,0
572,115897,74,80,0
573,118999,71,73,0
574,117675,80,82,0
575,117484,78,82,0
576,153712,81,80,0
577,117731,76,87,0
578,148905,75,80,0
579,160014,0,0,0
580,123207,83,84,0
581,138184,66,84,0
582,117826,79,82,0
583,115508,0,85,0
584,141380,0,79,0
585,117633,84,81,0
586,146169,82,85,0
587,144847,82,87,0
588,150889,70,73,0
589,118196,74,73,0
590,115777,82,86,0
591,158634,0,0,0
592,122638,73,81,0
593,115520,70,72,0
594,151310,77,0,0
595,140283,71,76,0
596,135159,74,74,0
597,153230,80,82,0
598,127459,78,80,0
599,116735,0,0,0
600,144264,81,81,0
601,159116,0,0,0
602,117803,72,81,0
603,117788,72,80,0
604,156868,0,75,0
605,150620,80,75,0
606,118509,73,72,0
607,117756,72,75,0
608,117401,0,0,0
609,118919,79,0,0
610,149282,79,73,0
611,128308,73,76,0
612,127057,82,85,0
613,149414,69,75,0
614,159003,0,0,0
615,128468,74,73,0
616,152014,86,85,0
617,117888,80,76,0
618,118389,0,0,0
619,117677,68,73,0
620,117863,82,82,0
621,115532,73,76,0
622,126684,79,85,0
623,128155,80,83,0
624,159034,0,0,0
625,141231,80,87,0
626,159004,0,0,0
627,152041,83,88,0
628,155922,0,79,0
629,115534,78,78,0
630,158990,0,0,0
631,117726,73,75,0
632,148880,78,77,0
633,158054,0,0,0
634,150867,77,81,0
635,115539,76,77,0
636,138093,77,81,0
637,124084,76,77,0
638,159017,0,0,0
639,159386,0,0,0
640,118079,78,87,0
641,117712,80,87,0
642,140341,74,79,0
643,154633,79,85,0
644,118103,0,0,0
645,116491,79,81,0
646,116492,82,85,0
647,160155,0,0,0
648,154620,85,88,0
649,117864,81,80,0
650,116897,0,0,0
651,151353,77,78,0
652,118909,83,82,0
653,116625,78,82,0
654,116248,67,73,0
655,122362,79,76,0
656,115545,75,80,0
657,159737,0,0,0
658,126700,78,82,0
659,139875,78,82,0
660,117951,79,82,0
661,135717,82,85,0
662,121405,80,85,0
663,160165,0,0,0
664,118206,83,85,0
665,127952,82,76,0
666,148139,83,82,0
667,118752,72,71,0
668,148075,76,79,0
669,123204,82,85,0
670,125503,75,78,0
671,121859,77,77,0
672,117757,0,0,0
673,118092,75,0,0
674,150411,70,77,0
675,116890,0,0,0
676,117881,80,77,0
677,118274,71,80,0
678,141548,86,86,0
679,117638,71,77,0
680,117637,78,73,0
681,159398,0,0,0
682,117489,0,84,0
683,160717,0,0,0
684,145400,77,84,0
685,114519,76,0,0
686,117928,79,81,0
687,116458,78,86,0
688,117439,74,76,0
689,118715,82,86,0
690,123754,81,77,0
691,131327,73,79,0
692,117014,78,81,0
693,118334,81,81,0
694,121702,79,82,0
695,116555,85,87,0
696,154617,77,80,0
697,130779,79,79,0
698,117556,77,82,0
699,157404,0,83,0
700,160365,0,0,0
701,117778,83,82,0
702,127099,0,67,0
703,123516,83,82,0
704,118309,73,84,0
705,116835,70,77,0
706,159351,0,0,0
707,159120,0,0,0
708,144762,83,81,0
709,123573,79,84,0
710,152854,80,79,0
711,159209,0,0,0
712,117427,80,77,0
713,154857,79,82,0
714,117527,82,83,0
715,115623,76,78,0
716,139377,78,83,0
717,116636,80,76,0
718,118704,84,75,0
719,116755,71,83,0
720,118269,82,86,0
721,145958,82,85,0
722,158059,0,0,0
723,152732,76,83,0
724,118385,0,79,0
725,115812,82,79,0
726,127138,77,80,0
727,150754,76,77,0
728,154055,76,80,0
729,118470,78,83,0
730,117877,73,83,0
731,118140,85,86,0
732,155701,0,84,0
733,118474,0,77,0
734,141970,69,78,0
735,122962,77,83,0
736,159254,0,0,0
737,117319,85,88,0
738,115639,74,83,0
739,160803,0,0,0
740,160626,0,0,0
741,118726,70,68,0
742,117429,78,78,0
743,118383,77,64,0
744,146704,85,85,0
745,157197,0,69,0
746,117023,78,80,0
747,159121,0,0,0
748,118936,84,86,0
749,135156,85,85,0
750,118361,79,83,0
751,115865,78,73,0
752,118400,85,64,0
753,159279,0,0,0
754,117296,76,82,0
755,148669,80,83,0
756,117793,79,86,0
757,117145,0,86,0
758,129756,0,38,0
759,117775,76,82,0
760,149583,0,74,0
761,157159,0,81,0
762,115653,0,48,0
763,116260,78,81,0
764,153247,76,82,0
765,115941,79,48,0
766,115794,70,48,0
767,127491,75,75,0
768,118219,73,73,0
769,116671,73,78,0
770,117451,75,84,0
771,117434,73,74,0
772,158411,0,0,0
773,149235,78,80,0
774,115135,77,64,0
775,122964,85,87,0
776,137975,77,79,0
777,116738,79,76,0
778,141933,81,80,0
779,125359,84,85,0
780,143813,84,81,0
781,115662,75,76,0
782,150715,74,78,0
783,143157,75,76,0
784,148261,79,87,0
785,117652,0,0,0
786,115734,68,75,0
787,121602,78,80,0
788,154859,73,74,0
789,127100,84,86,0
790,117852,78,85,0
791,123048,80,82,0
792,117820,83,85,0
793,118510,77,82,0
794,119259,85,89,0
795,117853,81,81,0
796,159102,0,0,0
797,122873,85,83,0
798,118082,72,75,0
799,129552,85,89,0
800,117777,80,83,0
801,117832,82,79,0
802,155963,0,82,0
803,117656,79,74,0
804,149858,76,78,0
805,118291,74,76,0
806,159679,0,0,0
807,116721,74,77,0
808,133157,75,77,0
809,117377,73,79,0
810,156420,0,80,0
811,156419,0,80,0
812,115600,75,64,0
813,119364,85,87,0
814,150635,84,82,0
815,125059,71,75,0
816,116568,74,78,0
817,117709,82,81,0
818,158076,0,0,0
819,117659,74,83,0
820,159255,0,0,0
821,133260,85,80,0
822,117737,85,82,0
823,118107,83,79,0
824,158389,0,0,0
825,117982,72,80,0
826,118844,0,0,0
827,117931,75,76,0
828,160328,0,0,0
829,141656,0,0,0
830,117430,72,78,0
831,159756,0,0,0
832,146854,83,78,0
833,156488,0,86,0
834,132559,78,85,0
835,118160,79,80,0
836,128702,82,81,0
837,133302,74,81,0
838,124128,76,78,0
839,117733,79,80,0
840,118307,82,81,0
841,117621,78,82,0
842,118504,81,85,0
843,116031,75,76,0
844,123709,81,83,0
845,141763,86,84,0
846,118161,78,79,0
847,118810,0,0,0
848,122856,0,0,0
849,153625,67,77,0
850,118109,82,81,0
851,134807,78,80,0
852,159005,0,0,0
853,117807,79,86,0
854,117780,80,80,0
855,117735,74,77,0
856,116705,79,79,0
857,144405,79,76,0
858,155918,0,84,0
859,123315,74,76,0
860,159652,0,57,0
861,128114,82,80,0
862,117886,78,76,0
863,159664,0,0,0
864,125612,81,85,0
865,136312,71,83,0
866,113902,73,80,0
867,159458,0,0,0
868,122960,80,79,0
869,144415,75,78,0
870,118780,78,76,0
871,122138,79,82,0
872,158918,0,0,0
873,117808,79,82,0
874,156356,0,86,0
875,123041,81,83,0
876,117744,75,71,0
877,116048,0,81,0
878,159678,0,0,0
879,159280,0,0,0
880,136135,82,84,0
881,161008,0,0,0
882,123967,80,86,0
883,138428,76,77,0
884,118888,71,68,0
885,135225,85,0,0
